Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Docker Foundations Professional Certificate,"Containers help developers pack up their applications, ensuring they run smoothly anywhere. Software developers need to understand these technologies to deliver software as a team. Whether you are new to Docker or looking to review the fundamentals, these courses can help. Tune in, pass the final exam, and earn your certificate.",Learning Path,N/A,N/A,true,N/A,
Penetration Testing Professional Certificate by Cybrary,"Penetration testing is a key discipline in a cybersecurity career. In this learning path, master ethical hacking, from the cyber kill chain to advanced exploit analysis. Gain hands-on expertise with Kali Linux, Metasploit, and Burp Suite to excel in identifying and mitigating vulnerabilities. Tune in, pass the exam, and earn your certificate.<br><br>This certificate is endorsed by Cybrary. To continue your learning journey, visit <a href=""https://www.cybrary.it/career-path/it-and-cybersecurity-foundations"">Cybrary Career Paths</a>.",Learning Path,2025-02-06 15:03 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:660eec77498e159e34a68fd8,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:660eec77498e159e34a68fd8,Learning Path,2025-02-06 17:38 UTC,2025-02-06 17:26 UTC,true,N/A,
Career Essentials in GitHub Professional Certificate,"Want to advance your developer journey? Are you a new computer science grad looking for a developer role? These courses teach the skills to enrich your GitHub portfolio and elevate your profile in today's competitive job market. Tune in, pass the final exam, and earn your professional certificate.",Learning Path,2025-02-05 16:45 UTC,2025-02-05 16:43 UTC,true,N/A,
Career Essentials in Cybersecurity by Microsoft and LinkedIn,Discover the skills needed for a career in cybersecurity. Gain a solid understanding of commonly used cybersecurity terms. Explore the current threat landscape and learn the core concepts of cybersecurity.  ,Learning Path,2025-02-18 12:24 UTC,2025-02-18 12:21 UTC,true,N/A,
Nano Tips for Using AI for Brand Storytelling with Ash Rathod,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, Ash Rathod offers tips on how to use AI tools for inspiration, productivity, and identifying with your audience as a storyteller. Learn about the human-AI creative balance, ethical AI storytelling pitfalls to avoid, crafting better AI prompts, and more.",Course,2025-02-03 17:46 UTC,N/A,false,N/A,
Demystifying Advanced and Complex Security Topics,"<p>Have you ever wanted to know more about the complex world of cybersecurity, but weren’t sure where or how to begin? This course is designed to help you unravel the intricacies of some of the most important and most challenging topics in today’s cybersecurity landscape, particularly if you already have a basic understanding of the field and are looking to learn more about advanced concepts and practices.</p><p>Join industry-leading expert and CISO Jerich Beason as he covers a wide variety of topics, including advanced threat detection, complex network security architectures, cutting-edge cybersecurity technologies, and the latest trends in cyberdefense strategies. By the end of this course, you’ll be prepared to identify, think about, explain, and address complex cybersecurity challenges using industry-leading protocols and practices.</p>",Course,2025-02-05 12:23 UTC,N/A,false,N/A,
Tips to Enhance Emotional Intelligence with Calming Exercises,"Our internal state dictates the way that we show up and interact with the world around us. This includes managing not only feelings of excitement but also moments of stress and overwhelm. In this course, mental health and well-being expert Nidhi Tewari outlines a series of exercises that can help you identify and regulate your emotions in order to manage stress, increase your emotional intelligence, and boost your capacity to interact with others with self-awareness. Nidhi guides you through techniques such as fine-tuning neuroception and interoception, identifying and interrupting emotional triggers, using 4-7-8 breathing to manage strong emotions, and leveraging the relationship between emotions, thoughts, and actions. By the end of this course, you’ll have developed greater self-awareness to recognize signs of stress long before they overwhelm you.",Course,2025-04-13 03:13 UTC,N/A,false,N/A,
Microsoft Security Copilot (2024),"<p>Microsoft Copilot for Security is a potential game-changer in the cybersecurity industry. Leveraging the power of generative AI, it rapidly turns questions, known as prompts, into intelligent and actionable guidance, revolutionizing the way you approach security defense. Copilot for Security allows you to complete tasks in minutes instead of a full day, streamline previously complex security operations, bridge the talent gap in cybersecurity, and more.</p><p>In this course, instructor Bryan Li delves into this important topic, covering the rise of generative AI, how it affects cybersecurity leaders and professionals, and how to get started with Copilot for Security. Explore the key capabilities of Copilot for Security and how to apply it in everyday security operations.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-cybersecurity-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2025-02-18 12:24 UTC,2025-02-18 12:21 UTC,false,N/A,
C# Practice: Interfaces and Abstract Classes,"<p>Test your object-oriented knowledge of C# in this edition of <i>Code Challenges</i>. Instructor and .NET developer Walt Ritscher presents five hands-on, intro-level challenges focused on abstract classes and interface implementation. Each challenge examines one aspect of these topics, and after you write the code to solve the challenge, check your work against Walt’s solution.</p>
<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,2025-02-18 06:23 UTC,N/A,false,N/A,
Diversity and Inclusion in Marketing: Inclusive Language for Marketers,"Words matter. For as much as words can make a positive impact with an audience, they can also divide and alienate us. Now more than ever, it’s critical for marketers to intentionally use inclusive language. In this course, Andrew McCaskill, Senior Director of Global Communications at LinkedIn, shares practical guidance on this critical topic. Andrew outlines the basics of inclusive language, and he provides a framework to evaluate your marketing assets, such as checking for stereotypes and gender-inclusive language. If you’re looking for a guide to help you navigate the critical aspects of diversity and inclusion, join Andrew in this course.",Course,2023-01-28 12:14 UTC,N/A,false,N/A,
Object-Oriented Programming and WordPress,"Object-oriented programming is ideal in large, complex, and continually maintained projects. It lets you take a huge problem and break it down into solvable chunks. In this course, Gary Kovar covers the benefits of OOP, answers “Why OOP in WordPress?” and how to best connect with WordPress. Gary takes you through a refresher on OOP PHP syntax, takes a deep look at architecture concepts, shows you what OOP is <em>not</em> good for, simple wins with OOP, and team benefits. He also provides multiple real-world examples of OOP and WordPress—including building a plugin using what you’ve learned in the course. If you have some experience with OOP—and some frustration—check out this course to learn how you can use it to your benefit when creating WordPress plugins.",Course,2025-02-05 07:19 UTC,N/A,true,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:4586280,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:4586280,Course,2024-08-06 17:03 UTC,N/A,false,N/A,
Introduction to Artificial Intelligence (2023),"<p>Computer scientists are just a small slice of people working in artificial intelligence. Most of the people working in AI are project managers, product managers, directors, and executives. People just like you. This course helps you grasp key concepts in artificial intelligence. You’ll see how AI can enhance your products, life, and career. AI has been around for over half a century. Even with its huge strides, the core ideas in machine learning and neural networks are still accessible. </p><p> 
This course is designed for project managers, product managers, directors, executives, and students starting a career in AI. Get a high-level overview of the top tools in the field. First, see what it means for a system to display “intelligence.”  Then, learn algorithms and techniques involved in machine learning, artificial neural networks, and deep learning. Once simplified, AI looks less like magic and more like an exciting new set of technology tools. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/data-science-professional-certificate-by-knime"" target=""_blank"">Professional Certificate</a> from KNIME.</p>",Course,N/A,N/A,true,N/A,
Mastering Presentations for Non-Native English Speakers,"<p>Giving presentations can be challenging and uncomfortable—even more so when they are not in your native language. In this course, Liesje Sandler, an English coach at Speexx, teaches how to give a successful presentation that makes you feel confident and comfortable. Learn how to prepare a good presentation, master transitions during the presentation, and deal with questions. Plus, get tips and the necessary wording to ensure that the presentation runs smoothly from start to finish.
</p><p>
This course is part of a <i>Business English for Non-Native Speakers</i> series aimed at anyone with a basic knowledge of English who wants to improve their business English skills.</p>",Course,2024-04-28 10:49 UTC,N/A,false,N/A,
IT and Cybersecurity Risk Management Essential Training,"<p>If you work in IT risk management, you already know that one of the biggest challenges you face is the fact that you have limited resources to manage seemingly unlimited risk. So, how can you use your limited resources to reduce your greatest IT risks down to an acceptable level? To do that you need to understand what IT risk management really is and how it works in practice. In this course, information security expert Kip Boyle teaches how to set your organization up for success so they can stay in control of their data and systems. Kip imparts knowledge that will help deliver solid results with confidence and clarity, no matter the size of your company or the size of your budget. As he shows, if you do IT risk management well, you’ll have no trouble complying with cybersecurity laws, regulations, and customer requirements that require you to take a risk-based approach to protecting your digital assets.</p><p>This course includes AI-powered Role Play. Role Play allows you to practice what you’ve learned in interactive simulations of real-world conversations.</p>",Course,N/A,N/A,true,N/A,
Building a Privacy Program in the Age of GenAI,"Dive into the world of privacy and data governance as Nishant Bhajaria—a privacy and security leader—guides you through essential topics such as data classification, inventory, and the importance of timely data deletion. Discover how to implement robust third-party risk management processes, ensuring that your company's external partnerships contribute to a secure data ecosystem. Understand the risks of data exfiltration, poisoning, and bias in AI systems, and explore best practices for mitigating these threats. Learn how to enhance transparency with users and maintain regulatory compliance through privacy impact assessments and robust review processes. Find out how technical privacy reviews can preemptively improve product design and prevent bad code deployment. When you complete this course, you'll be equipped to transform privacy from a compliance requirement into a strategic advantage for your organization.",Course,2025-07-11 07:08 UTC,N/A,false,N/A,
Harness Your Anxiety for Good,"<p>In this course, New York University neuroscientist Dr. Wendy Suzuki shares practical wisdom to help individuals harness the power of anxiety and turn it into a positive force. She discusses how to understand and influence anxiety positively and delves into the concept of ""good"" anxiety, illustrating how it can enhance performance and drive success. She reveals techniques for cultivating presence and routine, connecting to motivation and purpose, and dealing with common challenges like imposter syndrome. Plus, learn how to leverage anxiety to maximize your potential and stay present every day.
 </p><p>
This course was created by Morra Aarons-Mele of <i>The Anxious Achiever</i>. We are pleased to offer this insightful discussion in our library.",Course,2025-04-05 12:50 UTC,N/A,false,N/A,
Threat Hunting Essential Training,"<p><b>Suggested Prerequisites</b></p>
<ul>
<li>Basic working knowledge of cybersecurity, its core concepts, and essential terminology.</li>
</ul>
<p>Just because an organization opts to spend a fortune on cybersecurity doesn’t mean that it’s immune to an attack. Join information security thought leader Michael Wylie for a comprehensive introduction to threat hunting: a core skill for any cybersecurity professional tasked with detecting and isolating the most advanced, hard-to-find security threats.</p>",Course,N/A,N/A,true,N/A,
Career Essentials in System Administration by Microsoft and LinkedIn,"If you’re interested in a career in system administration but aren’t  sure where to start, this course is for you. System administration requires skills spanning across many topics, and in this course, Robert McMillen helps you get  started by providing an overview of the role, core skills and tools needed, and how to start and advance your career. Learn about managing on-premises, cloud, physical, and virtual implementations, as well as storage security and much more. If you’re looking for the skills necessary to continue your learning journey and earn a Career Essentials Certificate by Microsoft and LinkedIn to showcase your skills to employers, join Robert in this course.",Course,N/A,N/A,true,N/A,
Practical GitHub Project Management and Collaboration,"<p>If you’re looking to take advantage of the more powerful features of GitHub, this course was designed for you. GitHub is more than just a code repository—it's also a system for managing social interactions and collaborating with your teammates to create better code. Join Senior LinkedIn Learning staff instructor Ray Villalobos to learn how to get started using GitHub’s built-in project management and collaboration tools like a pro. Ray helps you choose the best approach for creating a project, from customizing settings and fields to using view categories, assigning items to collaborators, and managing pull requests. Along the way, explore techniques for leveraging project tools such as labels, task lists, slash commands and emojis, views and filters, charts, insights, and visualizations.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-github-professional-certificate"">Professional Certificate</a> from GitHub.</p>",Course,2025-02-05 14:13 UTC,2025-02-05 14:13 UTC,false,N/A,
IT Security Foundations: Core Concepts,"Every day, we interact with our digital devices. At the same time, we’re faced with the threat of cyberattacks that can compromise our privacy and security. Learning the basics of how to secure our digital world will help us avoid becoming victims of a cyberattack. In this beginner-level course, <i>IT Security Foundations</i> series creator Lisa Bock covers basic security concepts. Learn strategies malicious actors use to gain access to your system using social engineering, malware, and spyware. Dive into some basic wireless security best practices, tips for beefing up browser security, and techniques for implementing encryption. Additionally, find out how to manage cookies when using a browser and discover best practices on how to secure your devices and applications.",Course,N/A,N/A,true,N/A,
Practical GitHub Code Search,"<p>GitHub is a vast code repository—with over 100 million developers and more than 330 million repositories, it’s the largest developer platform in the world. Finding your way when you're looking for something specific can be difficult, but GitHub has tools to help. In this course, Ray Villalobos helps you find what you need. Ray starts out with a look at the regular search features of GitHub—showing you how to use the search box along with shortcuts, qualifiers, and operators, and how to use the results page to further refine your search. He then shows you how GitHub works when searching for code, including finding code you want to learn from as well as improvements with code search results. Join Ray in this course to find out how you can search, understand, and get the code faster and more efficiently than ever before.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-github-professional-certificate"">Professional Certificate</a> from GitHub.</p>",Course,2025-02-05 16:44 UTC,2025-02-05 16:43 UTC,false,N/A,
Learning Arduino: Interfacing with Hardware,"Arduino enables programmers to experiment with hardware and build interactive, digital projects connected to lights, sensors, and motors. This training course introduces you to the Arduino microcontroller, showing how to interface with three common components: an LCD screen, a seven-segment LED, and a keypad. Instructor Zara Khalil shows how to wire and program the interfaces and perform basic tasks: displaying randomized numbers, looping through an LED pattern, and accepting input from the keypad. The course is filled with zoomed-in, hands-on demonstrations that show how to complete the physical wiring, as well as tutorials that take you through high-level Arduino concepts and practical coding techniques. Follow along to learn how to create your own electronics with this popular maker tech platform.",Course,2025-02-24 15:17 UTC,N/A,false,N/A,
Practice Exam 1 for AWS Cloud Practitioner (CLF-C02),"<p>This practice exam is intended to help you prepare for the <b>AWS Cloud Practitioner (CLF-C02)</b> certification exam. After you launch the practice exam, there are three practice modes available; timed, untimed, or custom. Each mode allows unlimited attempts, explanations for correct and incorrect answers, and detailed exam results. The number and types of questions on the practice exam and the duration of the timed practice exam is intended to be representative of the certification exam.</p>
<p><b>Want more practice?</b> Additional practice exams for this certification are available and each has a unique question set for continued preparation.</p>
<ul>
<li><a href=""https://www.linkedin.com/learning/practice-exam-2-for-aws-cloud-practitioner-clf-c02/"" target=""_blank"">Practice Exam 2 for AWS Cloud Practitioner (CLF-C02)</a></li>
<li><a href=""https://www.linkedin.com/learning/practice-exam-3-for-aws-cloud-practitioner-clf-c02/"" target=""_blank"">Practice Exam 3 for AWS Cloud Practitioner (CLF-C02)</a></li>
<li><a href=""https://www.linkedin.com/learning/practice-exam-4-for-aws-cloud-practitioner-clf-c02"" target=""_blank"">Practice Exam 4 for AWS Cloud Practitioner (CLF-C02)</a></li>
</ul>
<p><b>About the certification</b>: To learn more about this certification, visit <b><a href=""https://aws.amazon.com/certification/certified-cloud-practitioner/"">Amazon Web Services</b></a>.</p>
<p><I>The practice exam questions provided are representative of the certification exam, but not the actual questions you will see on the certification exam. Practice exams are for self-assessment. Passing this practice exam does not guarantee that you will pass the actual certification exam.</I></p>",Course,2025-02-14 15:16 UTC,2025-02-14 15:15 UTC,true,N/A,
Nano Tips for Handling Difficult Work Situations with Tiffany Uman,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, discover strategies for identifying, addressing, and overcoming difficult situations at work, with expert advice from career strategy coach, former Fortune 500 senior director, author, and global speaker Tiffany Uman.</p><p>Explore the fundamentals of successfully navigating challenging workplace dynamics. Learn how to push back at work, think on your feet with confidence, manage overlapping deadlines and conflicts, deal with other people taking credit for your work, and receive feedback with grace and poise. Along the way, Tiffany shares practical insights on overcoming common mistakes so you can stay focused on what matters most. By the end of this course, you’ll be ready to speak up in meetings, make last-minute pivots, and leverage the full power of your professional voice.</p>",Course,2025-03-02 00:10 UTC,N/A,false,N/A,
ISO 27001:2022-Compliant Cybersecurity: Getting Started,"<p>Discover why the ISO 27001-2022 standard is one of the most popular frameworks for building effective cybersecurity programs and learn what it takes to comply with and get certified as compliant with this standard. In this course, cybersecurity director Marc Menninger provides an overview of how to build an ISO 27001-2022-compliant cybersecurity program. Learn what this standard is and discover why it is used around the world as the guidebook for constructing information security programs that work. Dive into how the standard is organized and get a description of the certification process. Explore a step-by-step plan that you can follow if you want to build a cybersecurity program that complies with the ISO 2700-2022 standard. Additionally, go over gaps and criticisms of the standard and examine ways to fill those gaps. With the information in this course, you can begin to build a cybersecurity program that is both effective and compliant with ISO 27001-2022.</p>",Course,2025-02-12 15:25 UTC,2025-02-12 15:21 UTC,true,N/A,
Practice Exam 3 for CompTIA Security+ (SY0-701),"<p>This practice exam is intended to help you prepare for the <b>CompTIA Security+ (SY0-701)</b> certification exam. After you launch the practice exam, there are three practice modes available: timed, untimed, or custom. Each mode allows unlimited attempts, explanations for correct and incorrect answers, and detailed exam results. The number and types of questions on the practice exam and the duration of the timed practice exam is intended to be representative of the certification exam.</p>
<p><b>Want more practice?</b> Additional practice exams for this certification are available and each has a unique question set for continued preparation.</p>
<ul>
<li><a href=""https://www.linkedin.com/learning/practice-exam-1-for-comptia-security-plus-sy0-701/about-the-practice-exam?u=104"" target=""_blank""> Practice Exam 1 for CompTIA Security+ (SY0-701)</a></li>
<li><a href=""https://www.linkedin.com/learning/practice-exam-2-for-comptia-security-plus-sy0-701/about-the-practice-exam?u=104"" target=""_blank"">Practice Exam 2 for CompTIA Security+ (SY0-701)</a></li>
<li><a href=""https://www.linkedin.com/learning/practice-exam-4-for-comptia-security-plus-sy0-701/about-the-practice-exam?u=104"" target=""_blank"">Practice Exam 4 for CompTIA Security+ (SY0-701)</a></li>
</ul>
<p><b>About the certification</b>: To learn more about this certification, visit <b><a href=""https://www.comptia.org/certifications/security#examdetail"" target=""_blank"">CompTIA.</a></b></p>
<p>The practice exam questions provided are representative of the certification exam, but not the actual questions you will see on the certification exam. Practice exams are for self assessment. Passing this practice exam does not guarantee that you will pass the actual certification exam.</p>",Course,N/A,N/A,true,N/A,
Practice Exam 1 for CompTIA Security+ (SY0-701),"<p>This practice exam is intended to help you prepare for the <b>CompTIA Security+ (SY0-701)</b> certification exam. After you launch the practice exam, there are three practice modes available: timed, untimed, or custom. Each mode allows unlimited attempts, explanations for correct and incorrect answers, and detailed exam results. The number and types of questions on the practice exam and the duration of the timed practice exam is intended to be representative of the certification exam.</p>
<p><b>Want more practice?</b> Additional practice exams for this certification are available and each has a unique question set for continued preparation.</p>
<ul>
<li><a href=""https://www.linkedin.com/learning/practice-exam-2-for-comptia-security-plus-sy0-701/about-the-practice-exam?u=104"" target=""_blank"">Practice Exam 2 for CompTIA Security+ (SY0-701)</a></li>
<li><a href=""https://www.linkedin.com/learning/practice-exam-3-for-comptia-security-plus-sy0-701/about-the-practice-exam?u=104"" target=""_blank"">Practice Exam 3 for CompTIA Security+ (SY0-701)</a></li>
<li><a href=""https://www.linkedin.com/learning/practice-exam-4-for-comptia-security-plus-sy0-701/about-the-practice-exam?u=104"" target=""_blank"">Practice Exam 4 for CompTIA Security+ (SY0-701)</a></li>
</ul>
<p><b>About the certification</b>: To learn more about this certification, visit <b><a href=""https://www.comptia.org/certifications/security#examdetail"" target=""_blank"">CompTIA.</a></b></p>
<p>The practice exam questions provided are representative of the certification exam, but not the actual questions you will see on the certification exam. Practice exams are for self assessment. Passing this practice exam does not guarantee that you will pass the actual certification exam.</p>",Course,N/A,N/A,true,N/A,
Advanced Pen Testing Techniques for Active Directory,"As a security professional, one of your most important jobs is to make sure that only authorized users have access to your system. Most often, this is achieved via credential-based access control, where credentials are stored in central directories like Microsoft Active Directory (AD). But are you really ready to handle an unexpected cyberattack?<br><br>In this course, instructor Malcolm Shore gives you an overview of Active Directory, including how to enumerate it and validate its security with penetration testing. Explore the core concepts of penetration testing and why it’s so important for enterprise security management. Learn how AD interacts with identity providers and how you interact with it at the command line using LDAP protocol as well as through Powerpoint. Malcolm teaches you some key tricks and gives you examples of how to get the most out of your audits by understanding and utilizing spray attacks, hash extractions, impacket libraries, and brute force attacks.",Course,2025-09-04 10:25 UTC,N/A,false,N/A,
Becoming a Male Ally at Work,"Gender diversity in the workplace drives innovation and performance. As a male ally, you can help boost diversity by chipping away at the systems that perpetuate everyday unconscious bias. In this course, Emilie Aries shares simple actions you can take right away to further gender equality in your workplace. Get tips for amplifying women's voices at work, including how to use your power to pass the mic to those whose voices often go unheard. Learn how to challenge the common leadership-likability double bind that women face as they rise through the ranks. Plus, learn how to sponsor women at work, shoulder your share of emotional labor, and more.",Course,2025-03-04 13:09 UTC,N/A,false,N/A,
ISO 27001:2022-Compliant Cybersecurity: The Annex A Controls,"<p>The Annex A controls in the ISO 27001 standard are used by organizations around the world to improve their information security programs and demonstrate good security practices to others. In this second part of his two-part ISO 27001 course, instructor Marc Menninger provides a comprehensive overview of all 93 security controls in Annex A of the ISO 27001 standard. You can use this knowledge to build a better security program and prepare for compliance with the ISO 27001 standard. This course includes handy documents with recommended ways to demonstrate compliance with ISO 27001, providing you with tools you need to get started on implementing the controls to build an ISO 27001-compliant cybersecurity program.
</P><p>Note: It is recommended that you start with part one, <i>ISO 27001:2022-Compliant Cybersecurity: Getting Started</i>, which includes background information and compliance requirements you need to know if you're serious about building an ISO 27001-compliant cybersecurity program.",Course,N/A,N/A,true,N/A,
Aprende Ansible: automatiza tu servidor Linux,"Aprende a automatizar tu servidor Linux con este curso. El objetivo es dominar esta poderosa herramienta de automatización para ahorrar tiempo y recursos en tareas recurrentes. Descubre cómo repetir y controlar procesos de manera automática, ahorrando tiempo y simplificando tareas tediosas. Exploraremos Ansible y sus particularidades en entornos Linux: desde tareas básicas hasta instalaciones completas de servidores, el límite lo pones tú con Ansible. No pierdas la oportunidad de simplificar tus operaciones y optimizar tu productividad. ¡Lleva tu servidor Linux al siguiente nivel!",Course,2024-06-10 11:12 UTC,N/A,false,N/A,
